@relation DIALOG_UTTERANCES
@attribute DOC_TEXT string
@attribute HAS_QUESTION_MARK {true, false}
@attribute HAS_AFFIRMATIVE {true, false}
@attribute HAS_NEGATIVE {true, false}
@attribute STARTING_POS {CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNS, NNP, NNPS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, X}
@attribute ACT_TAG {statement, question, yes, no, other}
@data
"now im left with this gay name",false,false,true,RB,statement
"hey everyone  ",false,false,false,UH,other
"ah well",false,false,false,UH,statement
"USERNAME is a gay name.",false,false,false,CD,yes
"hi USERNAME",false,false,false,JJ,other
"26 m ky women that are nice please pm me",false,false,false,CD,statement
"there ya go USERNAME",false,true,false,RB,statement
"don't golf clap me.",false,false,false,VBP,no
"fuck you USERNAME",false,false,false,NN,no
"whats everyone up to?",true,false,false,WP,question
"i'll thunder clap your ass.",false,false,false,PRP,statement
"that sounds painful",false,false,false,DT,statement
"26m",false,false,false,CD,statement
"my cousin drew a messed up pic on my cast",false,false,false,PRP$,statement
"24m",false,false,false,CD,statement
"26m and sexy",false,false,false,CD,statement
"he drew a girl with legs spread",false,false,false,PRP,statement
"hope he didnt draw a penis",false,false,false,NN,statement
"sounds good to me.",false,false,false,VBZ,yes
"I'll take one, please.",false,false,false,PRP,statement
" i have to go to the docs tomorrow",false,false,false,CC,statement
"ya man",false,true,false,DT,yes
"I am too.. Connected to... Slip away... Fade away... Days away I... Still feel you... Touching me... Changing me... Considerably killing me... ",false,false,false,PRP,statement
"26m",false,false,false,CD,statement
"you're back USERNAME",false,false,false,PRP,statement
"USERNAME",false,false,false,CD,statement
"yep",false,true,false,UH,yes
"USERNAME",false,false,false,CD,statement
"hurry ladies",false,false,false,NN,statement
"not fast enough USERNAME",false,false,true,RB,statement
"a bowl i got a blunt an a bong......lol",false,false,false,DT,statement
"well, glad it worked out",false,false,false,RB,statement
"my chair is too hard.",false,false,false,PRP$,statement
"hey ladies",false,false,false,JJ,other
"as am i",false,false,false,IN,yes
"hey ",false,false,false,UH,other
"USERNAME is missing a B in her name",false,false,false,CD,statement
"ok",false,false,false,UH,yes
"yes USERNAME",false,true,false,RB,yes
"fire it up",false,false,false,VB,statement
"and an an itch",false,false,false,CC,statement
"yo, USERNAME",false,false,false,UH,other
"let's talk.",false,false,false,VB,statement
"brb",false,false,false,NN,other
"hi there",false,false,false,UH,other
"boo, it's a female.",false,false,false,NN,statement
"hey USERNAME",false,false,false,JJ,other
"i wonna chat",false,false,false,PRP,statement
"24 f nc single mom",false,false,false,CD,statement
"where did everyone gooo?",true,false,false,WRB,question
"sure USERNAME",false,false,false,JJ,yes
"what did you but on ebay",false,false,false,WP,question
"i feel like im in the wrong room",false,false,false,PRP,statement
"im considering changing my nickname to ihavehotnips",false,false,false,PRP,statement
"i don't want hot pics of a female, I can look in a mirror.",false,false,false,PRP,statement
"hi USERNAME",false,false,false,JJ,other
"wb USERNAME",false,false,false,IN,other
"u should USERNAME",false,false,false,PRP,yes
"single dad here",false,false,false,JJ,statement
"ty USERNAME",false,false,false,IN,statement
"Hi USERNAME",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"yw USERNAME",false,false,false,CC,statement
"you should make it 'iamahotnip', USERNAME",false,false,false,PRP,statement
"alright",false,false,false,UH,yes
"hi USERNAME.",false,false,false,JJ,other
"you're fucking hot.",false,false,false,PRP,statement
"hi USERNAME, its so late",false,false,false,JJ,other
"ahah iamahotniplickme",false,false,false,NN,statement
"Hi USERNAME",false,false,false,UH,other
"in ny",false,false,false,IN,statement
"cya later guys",false,true,false,NN,other
"single white male 26",false,false,false,JJ,statement
"hi USERNAME",false,false,false,JJ,other
"bye USERNAME",false,false,false,CC,other
"well USERNAME what did u buy",false,false,false,RB,question
"yeah i know",false,true,true,UH,yes
"USERNAME.. get the hell outta my freaking PM box.. Im with my fiance!!!!!!!!!!!!!!!!",false,false,false,CD,no
"answers for USERNAME ",false,false,false,NNS,statement
"I like it when you do it, USERNAME",false,false,false,PRP,statement
"iamahotnipwithpics",false,false,false,NNS,statement
"uh huh ",false,false,false,UH,yes
"A gold jeep charm for my necklace USERNAME",false,false,false,DT,statement
"make sure u buy a nice ring for USERNAME",false,false,false,VB,statement
"Hi USERNAME",false,false,false,UH,other
"right on",false,false,false,RB,yes
"i have one already USERNAME... yayayayayyy!!",false,true,false,PRP,statement
"how you doin USERNAME",false,false,false,WRB,question
"'iamahotnipwithhotnippics",false,false,false,X,statement
"how many kts",false,false,false,WRB,question
"Just fine thanks, how are you?",true,false,false,RB,question
"that sounds freakishly like dr seuss",false,false,false,DT,statement
"wow. twice, I'm impressed.",false,false,false,UH,statement
"hiya room",false,true,false,NN,other
"im doin alright thanks",false,false,false,PRP,other
"Finger.. Deep within the borderline.. Show me that you love me, and that we belong together... Relax.. Turn around.. And take my.. Hand.. ",false,false,false,LS,statement
"I just laughed",false,false,false,PRP,statement
"didnt even look hang on",false,false,false,VBD,statement
"oh its 14k",false,false,false,UH,yes
"USERNAME... get outta my PM Box.. didnt ya hear!!!!",false,true,false,CD,no
"hes deaf",false,false,false,PRP,statement
"ppl here dont get it",false,false,false,NN,statement
"USERNAME,",false,false,false,CD,statement
"!hug USERNAME",false,false,false,CC,statement
"please behave baby boy.. I gottsa go now",false,false,true,UH,statement
"Only for the dirty minded, USERNAME.",false,false,false,RB,statement
"ima behave",false,false,false,PRP,statement
"yes USERNAME??",true,true,false,RB,question
"aww USERNAME have fun",false,false,false,CC,statement
"forwads away from USERNAME",false,false,false,NNS,statement
"i already wrote what i wanted you to read.",false,false,false,PRP,statement
"theres nobody here i wanna misbeahve with lol",false,false,true,NNS,statement
"so read it.",false,false,false,RB,statement
"forwads?",true,false,false,NNS,question
"I'll take all that I can get.",false,false,false,PRP,statement
"who is he USERNAME?",true,false,false,WP,question
"i hate it when my devotion to christianity is questioned.",false,false,false,PRP,statement
"USERNAME",false,false,false,CD,statement
"who honey??",true,false,false,WP,question
"Depends",false,false,false,VBZ,statement
"Hi all 31mCA",false,false,false,UH,other
"USERNAME",false,false,false,CD,statement
"yep",false,true,false,UH,yes
"On what kinda pervs your lookin for",false,false,false,IN,question
"what, USERNAME.",false,false,false,WP,question
"little jerks  jerkettes",false,false,false,JJ,statement
"handle?",true,false,false,VB,question
"oh well",false,false,false,UH,statement
"beeehave",false,false,false,NN,statement
"i love myself",false,false,false,PRP,statement
"lol USERNAME how do u know that",false,false,true,NN,question
"what?",true,false,false,WP,question
"jerkettes?? lmao",true,false,false,NNS,question
"well if we have girls",false,false,false,UH,statement
"i didnts say anithing wrong...",false,false,false,PRP,statement
"i can see it in his eyes",false,true,false,PRP,statement
"USERNAMEfiance",false,false,false,CD,statement
"Jerketts",false,false,false,NNP,statement
"wtf",false,false,false,NN,question
"yah I know honey!",false,true,true,UH,yes
"girl jerk kids",false,false,false,NN,statement
"you guys type too much. shut the fuck up.",false,false,false,PRP,no
"u shut the fuck up",false,false,false,LS,no
"no i dont want daughters!!",false,false,true,DT,no
"USERNAME  gettign cooler by the minute",false,false,false,CD,statement
"what'd I miss?",true,false,false,WP,question
"noo there too much work!",false,false,true,NN,no
"why not?? girls are nice honey!!!",true,false,true,WRB,question
"USERNAME",false,false,false,CD,statement
"USERNAME",false,false,false,CD,statement
"there is not!",false,false,true,EX,no
"heyy USERNAME",false,false,false,NN,other
"boys are naughtier",false,false,false,NNS,statement
"USERNAME.",false,false,false,CD,statement
"bye  USERNAME",false,false,false,NN,other
"Hmm",false,false,false,UH,statement
"you I hate you say..",false,false,false,PRP,statement
"Guess what",false,false,false,VB,statement
"i hate you USERNAME fuck your ugly",false,false,false,PRP,statement
"if i had a daughter she would regret me bein her dad",false,false,false,IN,statement
"huh?",true,false,false,UH,question
"Hmm",false,false,false,UH,statement
"What?",true,false,false,WP,question
"aw USERNAME whys that",false,false,false,CC,question
"deep inside USERNAME wants what she hates",false,false,false,JJ,statement
"id put caution tape all around her",false,false,false,NN,statement
" 27 M UK pic in profile",false,false,false,X,statement
"dr phil said so",false,false,false,IN,statement
"i feel bad now.",false,false,true,PRP,statement
"USERNAME, try to arrange your words so they form coherent thoughts",false,false,false,CD,statement
"phone USERNAME?",true,false,false,NN,question
"hello USERNAME",false,false,false,UH,other
"hmph.",false,false,false,NN,statement
"USERNAME",false,false,false,CD,statement
"hello room",false,false,false,UH,other
"yes USERNAME?",true,true,false,RB,question
"wait i didnt me phone you . . .  sheesh now im that phone perv guy",false,false,true,VB,statement
"lets hope not USERNAME",false,false,true,VBZ,statement
"yes USERNAME!!!!",false,true,false,RB,yes
"lets",false,false,false,VBZ,statement
"I think I am the exception to the rule",false,false,false,PRP,statement
"he's in PM land now though",false,false,true,PRP,statement
"ah ok",false,false,false,UH,yes
"i wont bug em then",false,false,false,PRP,statement
"i need to go this summer.",false,false,false,PRP,statement
"ok seriously who was the dumbass that signed kev fetterline a rap deal????",true,false,false,UH,question
"it's an emergency.",false,false,false,PRP,statement
"il get u a cheap flight to hell",false,false,false,FW,statement
"bbl maybe",false,false,false,NN,other
"it was me, USERNAME",false,false,false,PRP,statement
"8082653953",false,false,false,CD,statement
"KFed got his ass kicked.. Lol",false,false,false,NNP,statement
"i got a first class ticket to hell",false,false,false,PRP,statement
"anyone can be bought if theres enuff money USERNAME",false,false,false,NN,statement
"whats up USERNAME",false,false,false,WP,other
"i was only kidding.",false,false,false,PRP,statement
"he's a douchebag.",false,false,false,PRP,statement
"Poor USERNAME",false,false,false,JJ,statement
"i'm bored",false,false,false,PRP,statement
"love me.",false,false,false,VB,statement
"pick me",false,false,false,VB,statement
"choose me.",false,false,false,VB,statement
"USERNAME",false,false,false,CD,statement
"nothing much u",false,false,true,NN,statement
"that was my meredith impression",false,false,false,X,statement
"yes USERNAME???",true,true,false,RB,question
"sits with USERNAME",false,false,false,VBZ,statement
"Cum to my shower.",false,false,false,NNP,statement
"asl",false,false,false,NN,question
"not a lot, where u from",false,false,true,RB,question
"choose me too funny",false,false,false,VB,statement
"You can pick your friends.. And you can pick your nose.. But you can't pick your friends nose.",false,false,true,PRP,statement
"ca u USERNAME",false,false,false,MD,statement
"owww splinter",false,false,false,NN,statement
"IL",false,false,false,IN,statement
"pm me for my phone number.",false,false,false,IN,statement
"gags even",false,false,false,NNS,statement
"i do",false,false,false,PRP,statement
"Meep",false,false,false,NNP,statement
"beeeeehave",false,false,false,NN,statement
"no ",false,false,true,DT,no
"dude USERNAME gets around",false,false,false,NN,statement
"jk",false,false,false,UH,statement
"USERNAME's number",false,false,false,CD,statement
"dang it. just as i predicted.  no one pm's me.",false,false,true,VB,statement
"charge that is 1.99min.",false,false,false,NN,statement
"yeah",false,true,false,UH,yes
"thats not nice",false,false,true,DT,no
"my neck",false,false,false,PRP$,statement
"no it's not USERNAME, you shut yo mouth.",false,false,true,UH,no
"free for USERNAME",false,false,false,JJ,statement
"Lies.",false,false,false,NNS,statement
"lmao no USERNAME",false,false,true,NN,no
"Check my record.",false,false,false,VB,statement
"lick em USERNAME",false,false,false,NN,statement
"USERNAME how old r u",false,false,false,CD,question
"Way to lie",false,false,false,NN,statement
"mmhmm",false,false,false,NN,statement
"calls USERNAME",false,false,false,VBZ,statement
"24  u",false,false,false,CD,statement
"ummm",false,false,false,JJ,statement
"22 ",false,false,false,CD,statement
"USERNAME i dont cyber darlin ",false,false,false,CD,statement
"youre dead to me...",false,false,false,X,statement
"why...",false,false,false,WRB,question
"he is USERNAME!",false,false,false,PRP,yes
"I'm more innocent than anyone on Death Row.",false,false,true,PRP,statement
"u got a good catch",false,false,false,PRP,statement
"what r u searching for?",true,false,false,WP,question
"ummm",false,false,false,JJ,statement
"why else darling?",true,false,false,WRB,question
"yeah u ",false,true,false,UH,yes
"ooo wait",false,false,false,UH,statement
"yeah",false,true,false,UH,yes
"i'm going to bed now. iwant to have hot sexy dreams about USERNAME",false,false,true,PRP,statement
"i do bite USERNAME...",false,false,false,PRP,no
"yes",false,true,false,UH,yes
"ditto USERNAME nite",false,false,false,NN,yes
"USERNAME kina give it away",false,false,false,CD,statement
"oo ooooook then",false,false,false,MD,yes
"hey room",false,false,false,UH,other
"hey if he wants to call me darlin its ok",false,false,false,UH,statement
"yeah, so did USERNAME",false,true,false,UH,yes
"and he bites USERNAME",false,false,false,CC,statement
"not any more USERNAME",false,false,true,RB,no
"guys are idiots.",false,false,false,NNS,statement
"go ahead pm me baby",false,false,false,VB,statement
"USERNAME .. get the fuck outta my PM!",false,false,false,CD,no
"in case you girls didn't know.",false,false,true,IN,statement
"thought y were a girl",false,false,false,VBD,statement
"for all the early20s.",false,false,false,IN,statement
"what do u do in CA",false,false,false,WP,question
"USERNAME",false,false,false,CD,statement
"u wanna have have hot sext dreams about urself USERNAME",false,false,false,LS,statement
"piff so now you dont wanna talk to me",false,false,true,NN,statement
"shows i didnt read the profile",false,false,false,VBZ,statement
"am a student u",false,false,false,VBP,statement
"thats right",false,false,false,DT,yes
"lazy ppl... dont read profiles",false,false,false,JJ,statement
"sounds kinda conceited to me",false,false,false,VBZ,statement
"yes",false,true,false,UH,yes
"fine",false,false,false,JJ,yes
"busy peolpe either",false,false,false,JJ,statement
"I work in construction",false,false,false,PRP,statement
"okay, I'm off for a bit.",false,false,false,UH,statement
"to calm myself down.",false,false,false,TO,statement
"busy busy",false,false,false,JJ,statement
"a bit.",false,false,false,DT,statement
"USERNAME.",false,false,false,CD,statement
"later maybe...",false,false,false,RB,statement
"whats ur major",false,false,false,WP,question
"i probably sucks in summer too hot",false,false,false,PRP,statement
"I saw my name",false,false,false,PRP,statement
"was gonna dream about USERNAME",false,false,false,VBD,statement
"child development",false,false,false,NN,statement
"USERNAME how near kc ?",true,false,false,CD,question
"just cheaking ",false,false,false,RB,statement
"hell yeah",false,true,false,NN,yes
"USERNAME hes taken alright",false,false,false,CD,yes
"good night all",false,false,false,JJ,other
"It's only three syllables",false,false,false,PRP,statement
"wow thats near",false,false,false,UH,statement
"piff so",false,false,false,NN,statement
"sowwy VVil and USERNAME!",false,false,false,NN,statement
"so! Mmm",false,false,false,RB,statement
"PayPal has free credit alert to hep against identity theft now",false,false,true,NNP,statement
"wont do it again.. ",false,false,false,MD,statement
"too hot in the summer and too cold in the winter",false,false,false,RB,statement
"wat did u do USERNAME?",true,false,false,NN,question
"i typed choco in caps..lol",false,false,false,PRP,statement
"sowwy",false,false,false,NN,statement
"umm, USERNAME",false,false,false,NN,statement
"you're not supposed to be here you're over your 20s.",false,false,true,PRP,statement
"good pay makes it better",false,false,false,JJ,statement
"yes",false,true,false,UH,statement
"that red color bit my eye man...",false,false,false,IN,statement
"hey USERNAME",false,false,false,JJ,other
"Im blind now",false,false,true,PRP,statement
"hey este USERNAME spank dat as will",false,false,false,UH,other
"hey USERNAME",false,false,false,JJ,other
"funny.",false,false,false,JJ,statement
"Way to chase people out",false,false,false,NN,statement
"watch him USERNAME",false,false,false,VB,statement
"ty USERNAME",false,false,false,IN,statement
"hey USERNAME",false,false,false,JJ,other
"very bored any guys wana chat to a chik from aussie i mean chat aswell ",false,false,false,RB,statement
"u got that right, i dont do shit, im the supervisor",false,false,false,UH,yes
"Hello USERNAME.",false,false,false,UH,other
"hey USERNAME how's u?",true,false,false,JJ,other
"your fiance is ignoring me USERNAME",false,false,true,PRP$,statement
"what list should i put him in??",true,false,false,WP,question
"you wish",false,false,false,PRP,statement
"honey.. cmon",false,false,false,JJ,statement
"hi USERNAME",false,false,false,JJ,other
"nice",false,false,false,JJ,statement
"not the special list cuz he ignored you",false,false,true,RB,statement
"hey USERNAME",false,false,false,JJ,other
"put him in the untouchable list USERNAME",false,false,false,VBD,statement
"im good USERNAME",false,false,false,PRP,statement
"how r u USERNAME",false,false,false,WRB,question
"hows bout u",false,false,false,WRB,question
"good to hear USERNAME",false,false,false,JJ,statement
"no USERNAME lists",false,false,true,DT,no
"27 M London .. any girls who enjoys roleplay ..whisper me",false,false,false,NNP,statement
"good and urself ",false,false,false,JJ,question
"wats are they?",true,false,false,NNS,question
"yes.. 2 lists",false,true,false,X,yes
"great ty",false,false,false,JJ,statement
"piff i aint tellin you",false,false,false,NN,no
"u know the u of I right fighting illin",false,false,true,PRP,statement
"wb USERNAME",false,false,false,IN,other
"thank you vm",false,false,false,VBP,other
"i had to shut the tv off... too much noise about nothing but stupid political ads... good grief",false,false,true,PRP,statement
"wb USERNAME",false,false,false,IN,other
"yeah i lost connection",false,true,false,UH,statement
"so USERNAME how was youer day",false,false,false,CC,question
"its election season",false,false,false,PRP$,statement
"ooo a scorpion",false,false,false,IN,statement
"like always USERNAME and yours",false,false,false,IN,question
"same",false,false,false,JJ,statement
"well i was off of work today",false,false,false,RB,statement
"what did u do USERNAME",false,false,false,WP,question
"Uhh Ahh..............................Boyz II Men",false,false,false,NNP,statement
"scorpions rock... lol",false,false,false,NNS,statement
"what is ur job",false,false,false,WP,question
"me too USERNAME",false,false,false,PRP,statement
"went to manhattan and back, boght some stuff then came back home",false,false,false,VBD,statement
"what stuff USERNAME? ",true,false,false,WP,question
"they can be vindictive",false,false,false,PRP,statement
"earrings and a coat",false,false,false,NNS,statement
"you read too many horror scopes",false,false,false,PRP,statement
"nice USERNAME",false,false,false,JJ,yes
"i am horrified",false,false,false,PRP,statement
"well i am going talk later",false,false,false,RB,statement
"byb",false,false,false,NN,statement
"bye",false,false,false,UH,other
"Hey everyone!",false,false,false,UH,other
"nite USERNAME",false,false,false,JJ,other
"welcome USERNAME",false,false,false,JJ,other
"bye USERNAME",false,false,false,CC,other
"Hey USERNAME",false,false,false,CC,other
"what's the flavour of the day USERNAME",false,false,false,WP,question
"i had a very intersting blueberry martini today... first time... liked it... ",false,false,false,PRP,statement
"see u all laterssss",false,false,false,VB,other
"What kind of consultant are you....I'm a financial consultant",false,false,false,WDT,question
"byeeee",false,false,false,NN,other
"nite USERNAME",false,false,false,JJ,other
"bye USERNAME",false,false,false,CC,other
"gonna eat dinner",false,false,false,NN,statement
"biz USERNAME... ",false,false,false,CC,statement
"Looking Through Patient Eyes.....PM Dawn   last song of the eveningLIVE",false,true,false,VBG,statement
"nite USERNAME",false,false,false,JJ,other
"nite mike",false,false,false,NN,other
"i keep makin'  for others so it must be USERNAME... lol",false,false,false,PRP,statement
"me too...always seem to pick the right stocks for everyone else but me....lol",false,false,false,PRP,statement
"Hi USERNAME",false,false,false,UH,other
"don't be your own client",false,false,false,VB,statement
"I do...just always 2 days too late after I finish meeting with all my clients",false,false,false,PRP,statement
"hi room",false,false,false,UH,other
"hey USERNAME.. welcome",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"mango is my fav",false,false,false,NN,statement
"thank you",false,false,false,VBP,other
"shaken or stirred USERNAME?",true,false,false,VBN,question
"hi USERNAME",false,false,false,JJ,other
"hey USERNAME",false,false,false,JJ,other
"good ques USERNAME",false,false,false,JJ,statement
"always shakin'... lol",false,false,false,RB,statement
"strait up",false,false,false,NN,statement
"shakin",false,false,false,NN,statement
"that's the way I like it ",false,false,false,DT,statement
"oh ya",false,true,false,UH,yes
